Column1,"(7 day moving average) Case increases(per 100,000)"
280,79.04291861
279,75.95400803
278,75.86036085
277,72.00564053
276,67.14249557
275,63.1341071
274,59.48512131
273,55.48938786
272,51.62020465
271,46.39151029
270,41.66503959
269,38.27240843
268,36.843837
267,35.97280978
266,37.09657591
265,35.03669957
264,34.56846368
263,35.81444119
262,35.94822287
261,34.80493184
260,31.71746755
259,29.3361536
258,29.89767509
257,28.68604693
256,26.67317496
255,24.46324619
254,22.8177315
253,21.96912174
252,20.74845428
251,19.78016415
250,18.59203818
249,17.14141085
248,17.00582131
247,16.15214955
246,15.38344723
245,14.90508732
244,13.77770546
243,12.63766858
242,12.35708862
241,11.45171204
240,11.3161225
239,11.01854865
238,10.70904292
237,10.30661315
236,10.55609791
235,10.86632679
234,11.63539068
233,11.18306396
232,10.89091369
231,10.92634776
230,11.10460281
229,10.25237734
228,9.179954442
227,8.071374336
226,8.212025889
225,7.835629316
224,7.507321835
223,7.498282532
222,7.838521893
221,8.269154283
220,8.533463499
219,8.62241024
218,8.657844307
217,8.404382254
216,8.261922841
215,8.439093177
214,7.711971653
213,7.633872076
212,7.448385581
211,7.606031023
210,7.781393499
209,7.745236287
208,7.664967278
207,8.401851249
206,8.333152547
205,8.372202336
204,8.352677442
203,8.521893192
202,8.644466139
201,8.714611129
200,8.753299346
199,8.836460932
198,8.861047836
197,8.790179701
196,8.647358716
195,8.488628557
194,8.618794519
193,8.547564812
192,8.437646889
191,8.4738041
190,7.991466898
189,8.150920201
188,8.23625122
187,8.337491413
186,8.644466139
185,9.288064504
184,9.934193875
183,10.88838269
182,11.2629714
181,11.65527715
180,12.07650866
179,12.08554796
178,12.16617854
177,11.91488592
176,12.54727555
175,12.82496294
174,13.10337347
173,13.35900495
172,13.92848104
171,14.0210435
170,14.55978595
169,14.61763749
168,14.67404274
167,15.22471707
166,15.62100011
165,17.81140398
164,18.66073688
163,19.0819684
162,21.06374516
161,23.90714828
160,24.37068373
159,24.55146979
158,22.65574719
157,22.83725639
156,22.17666414
155,19.8806812
154,16.99750515
153,16.27002206
152,16.50829808
151,16.2085548
150,16.08200456
149,17.86780923
148,19.11884875
147,19.65180605
146,20.06833713
145,19.78884188
144,21.06302202
143,21.65310771
142,22.31948512
141,23.78457533
140,24.95281484
139,24.93654409
138,25.32342626
137,25.00994323
136,25.10684456
135,23.84278844
134,23.23498572
133,22.55342228
132,23.10011932
131,22.78591315
130,22.36938207
129,21.57826228
128,21.03120367
127,21.23657664
126,20.78244206
125,19.8210218
124,19.87055718
123,20.27045594
122,19.50753878
121,19.28227935
120,17.73221969
119,18.95794916
118,19.79318075
117,18.42390715
116,17.27374625
115,16.9852117
114,16.60230683
113,16.50902122
112,14.89604802
111,13.52966699
110,13.42300322
109,12.67129479
108,12.46411397
107,12.00672524
106,10.67107785
105,9.618541418
104,9.028094153
103,8.556965687
102,8.472719384
101,7.888780417
100,7.529377734
99,7.257113931
98,7.279531403
97,7.246989912
96,7.096575912
95,6.899519109
94,7.041255378
93,6.690530426
92,6.573019489
91,6.621470152
90,6.591098095
89,6.919767148
88,6.875293777
87,6.548071013
86,6.763929566
85,6.716925191
84,6.670282388
83,6.462378421
82,5.874462161
81,5.583396608
80,5.604367791
79,5.39574068
78,5.401164262
77,5.108290849
76,5.015366815
75,5.003434935
74,4.884116137
73,4.712369382
72,4.670065445
71,4.48819467
70,4.516397295
69,4.396355353
68,4.422750118
67,4.492171964
66,4.53773005
65,4.456737896
64,4.761904762
63,4.701160646
62,4.723578118
61,4.470477637
60,4.364175435
59,4.229309036
58,4.452760603
57,4.042737824
56,4.148316882
55,4.140723867
54,3.998987598
53,4.045268829
52,4.17543479
51,4.014896771
50,4.2557038
49,4.514589435
48,4.277759699
47,4.401778935
46,4.239794627
45,4.044907257
44,3.967169252
43,3.587880103
42,3.120367357
41,3.087464295
40,3.018404021
39,2.912824963
38,2.846657266
37,2.699858987
36,2.70202842
35,2.89691579
34,3.021296598
33,3.105542901
32,3.171349026
31,3.29681455
30,3.182557761
29,3.031059045
28,2.85244242
27,2.794952453
26,2.669486929
25,2.466644972
24,2.236323535
23,2.09711827
22,1.945257982
21,1.704450953
20,1.508478866
19,1.216328597
18,1.018187077
17,0.752793145
16,0.63058177
15,0.585385255
14,0.505477818
13,0.44943414
12,0.371334563
11,0.311313591
10,0.261055067
9,0.16415374
8,0.12655024
7,0.079907438
6,0.074122284
5,0.066167697
4,0.05134324
3,0.053874245
2,0.0376035
1,0.028925769
