Date,"(7 day moving average) Case increases(per 100,000)"
281,47.68866995
280,47.97931034
279,48.97980296
278,48.00985222
277,49.16502463
276,50.27487685
275,53.04137931
274,52.4
273,53.50049261
272,51.86009852
271,46.90147783
270,40.59162562
269,39.18522167
268,38.98275862
267,38.01724138
266,36.00541872
265,37.34482759
264,42.56502463
263,47.39655172
262,47.18571429
261,43.33152709
260,41.88522167
259,41.9773399
258,41.0679803
257,39.33349754
256,39.15073892
255,37.33793103
254,38.41133005
253,38.06206897
252,36.59458128
251,36.07980296
250,35.1729064
249,33.11133005
248,32.90541872
247,31.25566502
246,30.13743842
245,30.43596059
244,62.38472906
243,61.19507389
242,59.91034483
241,58.26256158
240,56.19852217
239,54.53694581
238,54.16502463
237,20.94827586
236,20.63004926
235,20.55172414
234,20.28817734
233,20.10344828
232,20.39507389
231,19.01280788
230,18.47684729
229,17.6817734
228,17.38522167
227,16.61428571
226,16.4044335
225,15.04778325
224,15.41921182
223,15.02610837
222,14.70344828
221,13.8
220,13.55960591
219,13.21231527
218,12.72068966
217,13.0955665
216,13.32512315
215,14.69261084
214,14.43004926
213,14.08325123
212,14.85270936
211,14.8182266
210,15.15369458
209,14.56748768
208,13.52315271
207,14.07980296
206,14.46699507
205,13.33842365
204,20.11576355
203,22.9546798
202,23.33497537
201,22.81330049
200,22.21674877
199,22.08226601
198,23.37980296
197,17.23300493
196,14.33497537
195,14.02906404
194,14.22906404
193,14.29064039
192,14.27635468
191,13.27832512
190,11.34679803
189,10.40591133
188,10.97241379
187,11.09704433
186,12.05024631
185,11.88374384
184,12.04827586
183,13.49802956
182,13.77142857
181,14.17980296
180,14.31576355
179,13.60098522
178,14.54679803
177,15.07536946
176,16.05172414
175,16.16600985
174,16.44876847
173,16.84137931
172,17.32906404
171,17.18275862
170,17.97931034
169,18.44039409
168,20.93349754
167,21.82315271
166,23.14630542
165,24.13004926
164,24.8453202
163,24.43940887
162,25.68128079
161,23.98029557
160,23.32758621
159,22.69408867
158,22.7044335
157,23.11970443
156,24.35418719
155,24.0408867
154,24.45862069
153,25.12216749
152,26.39310345
151,27.27980296
150,27.87192118
149,28.03743842
148,27.63103448
147,27.12068966
146,26.91576355
145,25.18226601
144,25.11428571
143,25.46256158
142,25.87487685
141,26.34926108
140,27.89458128
139,28.62857143
138,30.66699507
137,33.72857143
136,34.11477833
135,34.56403941
134,33.55714286
133,32.6955665
132,33.13694581
131,33.2320197
130,30.69458128
129,30.44384236
128,30.04384236
127,31.40689655
126,31.2408867
125,28.90246305
124,27.87142857
123,26.78275862
122,25.86305419
121,24.92561576
120,23.42167488
119,22.91428571
118,23.85418719
117,22.61477833
116,21.7044335
115,20.7591133
114,19.51527094
113,18.78325123
112,18.28669951
111,17.55221675
110,16.90591133
109,15.79605911
108,14.57438424
107,13.38128079
106,12.69605911
105,11.69802956
104,10.70147783
103,9.667487685
102,8.999014778
101,8.166502463
100,7.85862069
99,6.646305419
98,6.342857143
97,6.136945813
96,5.944334975
95,5.745320197
94,5.658128079
93,5.263546798
92,5.288669951
91,5.266502463
90,5.524630542
89,5.225123153
88,4.997044335
87,5.098522167
86,4.930049261
85,4.388669951
84,4.403448276
83,3.856650246
82,3.722660099
81,3.698522167
80,3.250246305
79,3.274876847
78,3.585221675
77,3.726108374
76,3.699507389
75,4.06453202
74,4.146305419
73,4.39408867
72,4.366502463
71,4.34679803
70,4.391625616
69,4.501970443
68,4.231034483
67,4.167980296
66,3.931527094
65,3.782758621
64,3.712807882
63,3.606403941
62,3.614778325
61,3.63546798
60,3.597536946
59,3.62955665
58,3.545812808
57,3.465517241
56,3.407389163
55,3.324630542
54,3.164039409
53,3.026108374
52,2.948275862
51,2.943349754
50,2.87635468
49,2.81182266
48,2.715763547
47,2.677339901
46,2.703940887
45,2.74729064
44,2.744827586
43,2.734975369
42,2.679310345
41,2.807389163
40,2.807881773
39,3.066502463
38,3.024137931
37,3.134482759
36,3.267487685
35,3.296059113
34,3.176847291
33,3.126600985
32,2.74137931
31,2.638916256
30,2.460591133
29,2.166995074
28,2.089162562
27,2.001970443
26,1.769950739
25,1.611330049
24,1.48817734
23,1.258128079
22,1.274384236
21,1.127586207
20,0.893103448
19,0.766502463
18,0.633497537
17,0.439901478
16,0.319704433
15,0.113793103
14,0.101970443
13,0.104926108
12,0.075369458
11,0.042364532
10,0.031527094
9,0.02364532
8,0.021674877
7,0.025123153
6,0.008374384
5,0.008374384
4,0.010837438
3,0.008866995
2,0.007389163
1,0.00591133
