Date,"Case increase (per 100,000)"
288,46.49871465
287,52.41131105
286,57.218509
285,54.47300771
284,52.32904884
283,54.49871465
282,47.99485861
281,37.54241645
280,49.88174807
279,55.32647815
278,57.94858612
277,50.66838046
276,46.13367609
275,37.45501285
274,35.05912596
273,34.5655527
272,31.1722365
271,42.03598972
270,35.64524422
269,32.21079692
268,25.09511568
267,30.36503856
266,27.72236504
265,30.70437018
264,28.11311054
263,27.30077121
262,27.218509
261,26.15938303
260,17.94344473
259,18.76092545
258,27.70179949
257,27.76863753
256,24.66323907
255,24.781491
254,20.38560411
253,16.16452442
252,17.62467866
251,18.44215938
250,16.49871465
249,15.40874036
248,10.93059126
247,11.93316195
246,8.395886889
245,11.59383033
244,10.53470437
243,11.59383033
242,12.84832905
241,10.44215938
240,10.23650386
239,6.123393316
238,8.390745501
237,10.59640103
236,8.416452442
235,8.370179949
234,10.41645244
233,6.174807198
232,5.131105398
231,7.146529563
230,9.172236504
229,8.776349614
228,7.506426735
227,6.334190231
226,7.161953728
225,5.290488432
224,5.876606684
223,7.439588689
222,8.185089974
221,9.439588689
220,6.992287918
219,7.161953728
218,4.796915167
217,6.28277635
216,8.899742931
215,8.215938303
214,7.105398458
213,5.141388175
212,6.11311054
211,4.287917738
210,4.452442159
209,5.167095116
208,4.668380463
207,4.910025707
206,3.419023136
205,3.876606684
204,2.946015424
203,4.431876607
202,5.06940874
201,4.061696658
200,4.606683805
199,3.35218509
198,3.938303342
197,2.997429306
196,3.727506427
195,4.36503856
194,4.524421594
193,3.892030848
192,2.961439589
191,2.863753213
190,2.673521851
189,3.748071979
188,4.118251928
187,4.442159383
186,4.570694087
185,3.640102828
184,3.876606684
183,3.372750643
182,3.588688946
181,3.264781491
180,3.269922879
179,4.066838046
178,2.910025707
177,3.233933162
176,2.097686375
175,2.940874036
174,3.357326478
173,3.645244216
172,3.089974293
171,3.244215938
170,3.367609254
169,2.097686375
168,3.120822622
167,3.77377892
166,3.737789203
165,3.789203085
164,3.598971722
163,3.429305913
162,2.447300771
161,2.64781491
160,3.614395887
159,3.670951157
158,3.614395887
157,3.269922879
156,3.835475578
155,2.802056555
154,2.730077121
153,3.871465296
152,3.311053985
151,3.994858612
150,3.676092545
149,2.745501285
148,3.12596401
147,2.755784062
146,3.856041131
145,3.871465296
144,4.16966581
143,3.624678663
142,4.395886889
141,2.668380463
140,2.580976864
139,3.876606684
138,3.989717224
137,3.953727506
136,4.272493573
135,4.688946015
134,2.863753213
133,3.480719794
132,3.753213368
131,4.041131105
130,3.002570694
129,3.557840617
128,3.023136247
127,2.663239075
126,2.740359897
125,3.732647815
124,4.719794344
123,4.498714653
122,3.213367609
121,2.694087404
120,2.010282776
119,3.167095116
118,3.614395887
117,4.138817481
116,3.850899743
115,2.98714653
114,3.06940874
113,2.838046272
112,3.413881748
111,3.681233933
110,4.092544987
109,3.177377892
108,2.915167095
107,3.244215938
106,3.187660668
105,3.568123393
104,4.709511568
103,4.22622108
102,3.784061697
101,3.46529563
100,3.511568123
99,3.609254499
98,4.015424165
97,5.696658098
96,5.526992288
95,5.388174807
94,5.372750643
93,6.832904884
92,4.838046272
91,5.706940874
90,7.074550129
89,7.974293059
88,9.089974293
87,5.804627249
86,5.511568123
85,6.42159383
84,8.16966581
83,9.110539846
82,8.719794344
81,10.73521851
80,7.840616967
79,7.57840617
78,6.426735219
77,9.712082262
76,12.43701799
75,14.20051414
74,12.28791774
73,11.18766067
72,7.35218509
71,8.53470437
70,11.68637532
69,13.95886889
68,15.10539846
67,17.94858612
66,14.32390746
65,11.51156812
64,13.04884319
63,17.67609254
62,23.97429306
61,20.26735219
60,24.06683805
59,23.57326478
58,15.98971722
57,20.31362468
56,30.34447301
55,54.25706941
54,41.79948586
53,32.10282776
52,28.41131105
51,21.48071979
50,24.29820051
49,31.12596401
48,36.45244216
47,37.83033419
46,43.72750643
45,59.49100257
44,36.89974293
43,32.58097686
42,42.34447301
41,51.13624679
40,54.37017995
39,54.6066838
38,53.74293059
37,42.02570694
36,44.51413882
35,42.81233933
34,55.7377892
33,53.89203085
32,44.57069409
31,40.70437018
30,47.80462725
29,35.90745501
28,36.99228792
27,39.49100257
26,37.93830334
25,33.15167095
24,26.45244216
23,24.62724936
22,29.34190231
21,24.7403599
20,16.73007712
19,15.16709512
18,9.095115681
17,5.187660668
16,2.221079692
15,1.511568123
14,0.673521851
13,0.843187661
12,0.524421594
11,0.287917738
10,0.22622108
9,0.323907455
8,0.143958869
7,0.123393316
6,0.05655527
5,0.11311054
4,0.010282776
3,0
2,0.005141388
1,0
